,Substrate SMILES,Alkene SMILES,Acid SMILES,Temp /C,ee
1,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCC1=CC=CC=C1,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,92
2,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCC1=CC=CC=C1,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,50,84
3,C12=C(C=CN2C3=NC=CC=C3)C=CC=C1,C=CCC1=CC=CC=C1,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,50,76
4,CC1=CC(N2C=CC3=C2C=CC=C3)=NC=C1,C=CCC1=CC=CC=C1,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,50,70
5,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCC1=CC=CC=C1,O=C(C1=CC=CC(C)=C1)N2C(C(O)=O)N(C(C3=CC(C)=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,82
6,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCC1=CC=CC=C1,O=C(C1=CC=CC2=C1C=CC=C2)N3C(C(O)=O)N(C(C4=C(C=CC=C5)C5=CC=C4)=O)[C@@H](C6=CC=CC=C6)[C@@H]3C7=CC=CC=C7,25,16
7,CC1=CC2=C(N(C=C2)C3=NC=C(C)C=C3)C=C1,C=CCC1=CC=CC=C1,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,50,84
8,COC1=CC2=C(N(C=C2)C3=NC=C(C)C=C3)C=C1,C=CCC1=CC=CC=C1,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,60,84
9,FC1=CC2=C(N(C=C2)C3=NC=C(C)C=C3)C=C1,C=CCC1=CC=CC=C1,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,50,84
10,FC1=CC=CC2=C1C=CN2C3=NC=C(C)C=C3,C=CCC1=CC=CC=C1,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,50,84
11,ClC1=CC(N2C3=NC=C(C)C=C3)=C(C=C2)C=C1,C=CCC1=CC=CC=C1,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,50,82
12,BrC1=CC2=C(N(C=C2)C3=NC=C(C)C=C3)C=C1,C=CCC1=CC=CC=C1,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,50,86
13,IC1=CC2=C(N(C=C2)C3=NC=C(C)C=C3)C=C1,C=CCC1=CC=CC=C1,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,50,84
14,O=C(OC)C1=CC2=C(C=C1)C=CN2C3=NC=C(C)C=C3,C=CCC1=CC=CC=C1,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,50,84
15,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,CC1=CC=C(CC=C)C=C1,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,50,80
16,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,COC1=CC=C(CC=C)C=C1,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,50,82
17,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCC1=CC=C(C2=CC=CC=C2)C=C1,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,50,78
18,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCC1=CC=C(F)C=C1,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,50,84
19,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCC1=CC=C(Cl)C=C1,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,50,76
20,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,O=S(OC1=CC=C(CC=C)C=C1)(C(F)(F)F)=O,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,50,74
21,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCC1=CC=C(C(OCC)=O)C=C1,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,50,72
22,BrC1=CC2=C(N(C=C2)C3=NC=C(C)C=C3)C=C1,C=CCC1=CC=C(C2=CC=CC=C2)C=C1,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,50,78
23,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCC1=C(C=CC=C1)Br,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,50,84
24,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,COC1=CC=C(CC=C)C=C1O,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,50,82
25,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCC1=CC=C(OC)C(OC(C)=O)=C1,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,60,76
26,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,COC1=CC=C(CC=C)C=C1OC,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,50,84
27,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCC1=CC=CC=C1,O=C(C1=CC=C(F)C=C1)N2C(C(O)=O)N(C(C3=CC=C(F)C=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,92
28,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCC1=CC=CC=C1,O=C(C1=CC=C(C)C=C1)N2C(C(O)=O)N(C(C3=CC=C(C)C=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,88
29,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCC1=CC=CC=C1,O=C(C1=CC=C(C(C)C)C=C1)N2C(C(O)=O)N(C(C3=CC=C(C(C)C)C=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,88
30,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCC1=CC=CC=C1,O=C(C1=CC=C(C(C)(C)C)C=C1)N2C(C(O)=O)N(C(C3=CC=C(C(C)(C)C)C=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,89
31,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCC1=CC=CC=C1,O=C(C1=CC=CC(C(F)(F)F)=C1)N2C(C(O)=O)N(C(C3=CC(C(F)(F)F)=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,90
